pH,alcohol,quality
3.2,9.5,5
3.23,9.6,5
3.33,10,6
3.36,9.5,5
3.33,11.3,5
3.16,10.3,5
3.3,13.3,6
3.38,9.2,5
3.34,11.6,6
3.32,10.5,6
3.37,10.3,5
3.18,10.6,6
3.06,11,6
3.18,10.4,6
3.2,9.2,4
3.1,9.7,5
3.28,9.4,5
3.6,10.2,5
3.6,10.3,6
2.94,9.5,5
3.15,11,5
3.18,9,6
3.45,10.5,5
3,9.3,5
3.1,10.5,6
3.19,9.5,5
3.12,10,6
3.45,10.3,5
3.69,10.5,5
3.41,11.1,6
3.08,9.3,6
3.36,11.2,5
3.41,12.1,6
3.48,9.6,5
3.28,10,6
3.46,11.8,6
3.22,9.4,6
3.46,9.5,5
3.42,11.5,6
3.15,9.9,6
3.38,9.8,6
3.4,9.5,6
3.16,9.6,6
3.12,9.3,6
3.39,11,5
3.2,9.3,5
3.38,9,4
3.29,9.2,5
3.41,11.9,7
3.32,11.1,5
3.3,10.5,5
3.26,10.2,6
3.39,10.9,5
3.26,9.6,6
3.35,9.7,6
3.72,11.4,5
3.4,9.4,5
3.26,9.6,6
3.22,10,5
3.12,9.3,6
3.47,10.2,6
3.49,12.1,6
3.31,9.5,6
3.11,9.3,5
3.26,9.3,5
3.19,9.6,5
3.18,9.4,5
3.5,11.9,6
3.37,9.4,6
3.19,9.6,5
3.41,9.5,6
3.52,12.4,7
3.29,10.1,5
3.15,11,8
3.24,10.8,5
3.15,10.6,7
3.4,11,7
3.27,9.5,5
3.07,11.7,6
3.41,10.3,6
3.36,10.5,5
3.41,9.5,6
3.38,9.5,5
3.18,11.2,5
3.36,10.7,6
3.18,11,6
3.38,12.7,7
3.39,11.4,6
3.32,9,6
3.33,12,7
3.45,9.5,6
3.32,11,4
3.41,9.7,5
3.35,10.8,6
3.24,11.7,7
3.31,10.5,7
3.46,9.5,6
3.39,9.5,5
3.07,10.3,6
3.36,10.7,5
3.39,11,6
3.5,9.8,5
3.51,10.8,6
3.3,10.4,6
3.45,9.8,5
3.57,12.5,7
3.3,9.6,5
3.3,10.3,5
3.47,11,5
3.34,9.7,4
3.21,10.2,6
3.59,9.8,5
3.53,10.8,6
3.15,9.9,6
3.39,9.6,5
3.16,9.8,5
3.53,10.6,5
3.43,10,4
3.44,9.4,5
3.35,11,7
3.14,9.1,5
3.32,10,6
3.38,9.5,5
3.42,9.4,5
3.22,10,7
3.15,10.5,5
3.46,10.2,5
3.29,9.2,6
3.2,9.6,5
3.46,12.7,8
3.31,11,5
3.63,10.7,3
3.32,11.0666666666667,6
3.28,9.8,5
3.3,9.8,5
3.26,11,5
3.26,9.7,5
3.34,9.4,5
3.21,9.9,6
3.3,10.5,7
3.13,10.4,5
3.34,9.5,5
3.26,9.3,5
3.22,10.1,6
3.38,9.9,3
3.22,12.5,7
3.22,9.5,5
3.53,9.8,6
3.3,12.7,6
3.3,11.4,6
3.24,10.4,5
3.57,13,7
3.19,12.5,7
3.1,10.8,6
3.28,9.2,5
3.46,9.5,5
3.16,11.3,6
3.26,10,5
3.44,9.8,5
3.51,9.7,5
3.47,9.5,6
3.48,9.7,5
3.36,11,5
3.03,9.9,5
3.22,9.7,5
3.22,12,6
3.18,13,5
3.05,11.5,7
3.3,9.5,5
3.18,9.5,5
3.6,9.8,4
3.36,9.1,5
3.41,9,5
3.28,9.6,5
3.04,10.1,5
3.35,9.2,5
3.29,9.3,5
3.25,9.9,7
3.41,11.2,5
3.4,10.1,6
3.28,9.7,5
3.36,9.6,5
3.26,9.5,5
3.39,9,5
3.48,11.7,6
3.41,9.4,6
3.53,10.9,4
3.31,9.8,5
3.46,12.9,7
3.22,9.2,5
2.98,11.8,8
3.31,10.4,4
3.15,9.4,5
3.69,9.4,6
3.3,10.5,5
3.18,9.5,5
3.3,10,7
3.24,11.4,8
3.53,9.9,5
3.36,10.8,6
3.33,9.5,5
3.38,11.6,7
3.21,10,5
3.24,10.8,6
3.2,9.4,5
3.12,9.1,6
3.32,11.6,6
3.09,9.3,5
3.3,11.2,5
3.3,10.75,6
3.47,10.4,6
3.46,11,5
3,9.2,5
3.19,11.4,7
3.54,11.3,5
3.21,12.1,7
3.42,10.5,5
3.12,10.4,6
3.59,11.5,6
3.26,9.6,5
3.51,9.5,5
3.29,9.5,5
3.2,9.2,5
3.27,10,6
3.3,11.4,6
3.16,8.4,3
3.34,9.4,6
3.54,10.7,6
3.36,9.6,6
3.55,9.5,5
3.22,10.3,7
3.3,9,5
3.26,12.4,7
3.4,9.7,5
3.39,10.5,5
3.61,11.4,5
3.25,9.4,5
3.47,10.9,6
3.17,10.4,6
3.29,9.9,6
3.22,12.8,6
3.15,9.1,5
3.4,11,7
3.17,11.2,7
3.29,10.1,5
3.48,9.8,5
3.34,8.7,6
3.3,9.4,5
3.15,9.1,5
3.39,10,6
3.17,12,7
3.08,9.1,5
3.36,9.1,5
3.3,9.9,5
3.19,9.5,5
3.42,10.6,6
3.36,11,5
3.2,12,7
3.26,9.4,6
3.56,10.6,6
3.58,10.2,5
3.27,9.3,6
3.28,9.5,5
3.54,10.5,5
3.19,9.4,5
3.12,9.3,5
3.4,9.5,5
3.28,9.7,5
3.33,12.8,6
3.32,10.5,7
3.58,12.3,7
3.3,12.8,7
3.34,9.6,6
3.23,12.5,6
3.2,9.6,5
3.1,9.3,5
3.42,9.5,6
3.09,9.1,6
3.1,9.2,5
3.05,10.6,5
3.37,11,5
3.2,12,7
3.33,9.8,5
3.3,12,7
3.22,11.4,6
3.3,9,6
3.15,12.1,7
3.39,11.6,6
3.29,10,5
3.15,9.4,5
3.2,9.4,5
3.01,11.8,7
3.51,11.3,6
3.26,9.8,6
3.5,9.7,5
3.57,9.9,5
3.17,12.2,7
3.42,11,6
3.44,11.5,5
3.37,9.6,6
3.04,9.3,6
3.38,10.5,7
3.26,10.2,6
3.1,9.2,5
2.89,9.6,5
3.16,9.8,5
3.04,9.4,5
3.13,9.4,5
3.32,14,6
3.33,12.8,7
3.36,10.1,5
3.19,9.5,5
3.42,10,6
3.42,10.2,6
3.12,12,6
3.42,10.1,7
3.4,10.9,6
3.34,10.5,5
3.32,10.5,5
3.54,10.9,5
3.52,9.7,5
3.04,9.6,5
3.46,12.5,6
3.35,10.3,5
3.29,9,5
3.16,8.8,5
3.15,11,7
3.31,12.5,7
3.44,10.9,6
3.68,11.4,5
3.24,10.8,5
3.32,9.5,6
3.36,10.7,5
3.5,9.3,6
3.23,9.5,5
3.5,9.8,4
3.9,13.1,4
3.29,10.8,6
3.51,11.7,7
3.16,9.1,4
3.44,10.7,5
3.57,11.9,5
3.07,10,7
3.32,12.4,7
3.26,10.6,5
3.09,10.9,6
3.35,10.1,5
3.27,9.9,5
3.17,10,6
3.58,11.2,4
3.2,10.2,6
3.2,11.4,6
3.4,10.9,7
3.4,11.2,6
3.56,10.8,5
3.27,11,6
3.2,9.6,5
3.33,10.5,5
3.39,10.6,5
3.47,11.3,7
3.33,10.3,6
3.51,11,6
3.21,9.5,5
3.46,9.5,5
3.32,9.8,3
3.36,10.8,6
3.34,9.4,5
3.26,11.7,7
3.09,9.4,5
3.02,12,6
3.28,9.5,5
3.37,10.3,6
3.59,9.8,5
3.08,9.2,5
3.35,10.4,6
3.33,10.3,4
3.27,12.8,6
3.36,10.4,5
3.35,11.3,6
3.2,10.8,7
3.18,11.1,7
3.39,10.9,6
3.17,10.2,6
3.04,11.4,7
3.38,9.4,5
3.39,10,7
3.4,10.9,4
3.3,11,6
3.16,10.8,5
3.38,11.7,5
3.33,9.5,5
3.48,9.1,5
3.58,9.8,5
3.57,12,5
3.3,9,6
3.39,9.6,5
3.62,11,5
3.26,11.3,6
3.38,11.3,6
3.37,9,4
3.36,10.1,5
3.67,9.6,5
3.39,9.7,5
3.61,12.7,6
3.49,9.2,5
3.08,10.9,5
3.35,10.6,6
3.01,10.8,6
3.27,10.8,6
2.98,9.9,7
3.48,11,3
3.21,9.4,6
3.24,9.3,5
3.54,11.9,6
3.36,10.9,5
3.39,10.5,6
3.12,9.6,5
3,9.5,5
3.26,9.4,5
3.39,10.6,6
3.08,9.3,6
3.26,11.7,7
3.24,9.7,7
3.42,11.5,7
3.23,11.1,7
3.07,9.2,7
3.26,11.2,7
3.36,9.1,5
3.42,9.2,5
3.41,11.9,7
3.15,9.8,5
3.1,10.5,5
3.37,10.5,6
3.53,9.7,5
3.19,10,7
3.25,9.9,5
3.29,9.8,4
3.33,12.8,7
3.16,9.9,5
3.38,11.3,6
3.2,12,7
3.29,10.1,5
3.24,9.4,5
3.36,9.5,5
3.23,11.3,7
3.37,10.4,6
3.09,11,5
3.28,9.7,5
3.63,13,5
3.35,9.7,5
2.93,9.9,6
3.19,9.5,5
3.33,10.5,5
3.24,10.8,7
3.52,12.3,7
3.12,9.9,5
3.43,11.1,6
3.3,10,7
3.38,10.5,7
3.52,9.5,6
3.32,9.7,6
3.41,11.8,6
3.31,9.7,3
3.24,9.3,5
3.31,11.2,7
3.59,9.3,6
3.31,9.4,5
3.39,9.7,5
3.52,11,4
3.45,11.5,6
3.21,12,6
3.16,9.7,6
3.61,9.8,5
3.37,9.2,6
3.29,10.8,6
3.29,10,5
3.43,9.2,6
3.35,12.7,7
3.23,10.5,6
3.36,9.4,5
3.3,10.2,5
3.35,9.3,5
3.29,9.8,5
3.38,10.8,5
3.42,10.8,6
3.05,10.5,7
3.55,9.8,5
3.17,12.5,6
3.09,9.7,6
3.47,9.9,5
3.47,9.9,6
3.15,9.8,5
3.11,10,5
3.14,9.5,5
3.22,10.3,6
3.32,9.5,5
3.24,9.5,6
3.39,9.6,5
3.38,10.8,5
3.26,9.9,6
3.22,13,5
3.16,9.1,5
3.17,9.8,5
3.26,9.3,5
3.46,10.2,5
3.43,10,5
3.44,9.4,5
3.41,10.8,5
3.39,12.4,6
3.36,10.9,5
3.04,9.5,6
2.98,9.2,6
3.14,11.8,7
3.39,9.3,5
3.4,10.1,6
3.21,9.4,6
3.22,9.4,5
3.44,10.55,7
2.98,14.9,5
3.27,12.6,7
3.27,9.6,5
3.17,9.5,5
3.28,9.5,5
3.32,10.5,6
3.24,9.8,6
3.08,10.1,6
3.14,9.4,5
3.71,12.8,7
3.25,11.9,6
3.61,10,6
3.36,10.1,6
3.3,11.5,6
3.27,9.4,6
3.42,10.7,6
3.36,11.4,6
3.31,9.3,5
3.21,11.3,6
3.3,10.1,5
3.32,9.2,5
2.92,10.5,7
3.41,12.8,5
3.21,9.5,6
3.43,9.5,5
3.39,10,5
3.34,10.4,5
3.16,9.56666666666667,6
3.49,10.5,5
3.13,9.2,5
3.23,9.3,4
3.18,11,7
3.39,9.8,5
3.3,9.8,6
3.5,9.9,6
3.16,9.5,5
3.48,9.7,6
3.2,11.9,6
3.16,9.4,5
3.27,9.3,5
3.34,9.2,6
3.5,10.9,6
3.32,11,6
3.56,12.9,8
3.45,9.5,5
3.29,9.3,5
3.39,9.4,5
3.31,9.2,4
3.33,9.8,5
3.37,11.8,6
3.57,11.7,6
3.2,9.5,5
3.21,10.2,6
3.27,11,6
3.21,9.5,6
3.28,9.6,5
3.46,9.2,5
3.41,11.8,6
3.61,11.5,6
3.38,10.6,6
3.38,10.3,6
3.11,9.8,7
3.09,10,6
2.87,10.2,6
3.2,9.2,5
3.23,12.6,8
3.39,13.5,6
3.21,9.3,5
3.38,9.5,5
3.28,9.5,5
3.32,13.4,7
3.28,10.1,6
3.53,10.4,6
3.44,10.1,5
3.39,10.6,6
3.32,9,6
3.3,10.2,5
3.03,9.8,6
3.1,9.2,5
3.46,9.3,5
3.08,9.8,6
3.41,10.9,5
3.44,9.5,5
3.35,12.4,6
3.38,9.9,4
3.23,9.5,5
3.28,11.8,6
3.12,9.2,6
3.19,9.5,5
3.33,12.2,6
3.44,10.3,6
3.38,9.5,5
3.3,9.5,6
3.61,9.8,5
3.44,9.3,5
3.26,9.7,5
3.29,9.2,5
3.05,9.6,4
3.55,9.7,6
3.43,10.1,5
3.42,11,6
3.22,9.6,5
3.32,9.6,6
3.29,10.2,6
3.24,11.2,7
2.99,10.2,5
3.27,11.9,6
3.19,11.4,5
3.3,9.6,5
3.53,9.5,5
3.25,9.5,5
3.12,10,5
3.38,9.6,4
3.37,11.3,5
3.42,10.5,5
3.42,10.2,6
3.2,9.5,5
3.41,10.8,7
3.41,9.4,5
3.78,12.3,7
3.31,10.7,6
3.38,11.7,6
3.58,10.8,7
3.43,9.7,6
3.52,10.2,7
3.23,9.5,5
3.12,9.2,5
3.5,11.1,5
3.48,10,5
3.25,10.8,7
3.15,10.4,6
3.35,10.5,5
3.3,9.6,4
3.36,9.5,5
3.26,9.9,5
3.14,11.1,7
3.42,10.5,5
3.2,9.7,6
3.19,9.6,5
3.18,11.9,6
3.3,9.9,5
3.02,9.2,5
3.37,11.5,7
3.14,9.7,5
3.2,9.4,6
3.41,10.3,6
3.05,10,5
3.31,10.6,6
2.98,9.4,5
3.28,12.5,6
3.3,9.5,5
3.15,8.5,5
3.21,10.9,6
3.23,12,6
3.25,9.2,5
3.25,9.6,5
3.02,10.9,7
3.13,9.5,5
3.36,9.4,5
3.12,11.5,6
3.21,11.6,6
3.34,12.2,7
3.37,9.9,5
3.51,11.5,6
3.13,10.4,5
3.35,12.8,8
3.38,11.8,6
3.41,10.3,5
3.24,9.7,5
3.34,11.7,7
3.53,10.9,5
3.24,10.3,5
3.34,12.9,7
3.28,9.5,6
3.16,9.5,5
2.92,11.1,5
3.32,11,6
3.34,13.3,7
3.34,10.8,6
3.01,12.3,7
3.21,9.9,5
3.46,9.5,5
3.35,12.1,6
3.26,10.2,5
3.22,9.6,5
3.28,9.8,6
3.53,9.25,6
3.04,9.2,6
3.39,12.8,6
3.2,9.4,5
3.53,9.7,5
3.31,10.7,6
3.43,12.6,5
3.49,10.4,5
3.32,10.5,6
3.53,10.4,5
3.16,9.2,6
3.01,12.3,7
3.49,9.2,5
3.36,9.1,5
3.41,11,4
3.02,9.9,7
3.14,10.9,6
3.34,11,6
3.27,9.4,5
3.37,10.4,6
3.59,9.8,5
3.53,10.4,6
3.28,9.8,5
3.54,13.6,7
3.23,11.1,6
3.43,11.5,6
3.4,9.5,5
3.45,9.5,5
3.34,10.2,6
3.57,11.7,6
3.47,11,7
3.21,10.8,7
2.9,9.1,6
3.49,11.6,5
3.48,9.3,5
3.4,11,7
3.44,10.2,7
3.59,10,4
3.42,10,7
