pH,alcohol,quality
3.54,10.7,6
3.41,11.1,4
3.25,10.4,6
3.34,10.6,7
3.47,9.4,6
3.29,11.6,7
3.25,10.3,5
3.25,9,3
3.25,11.9,6
3,9.2,5
3.33,11.1,6
3.15,9.2,5
3.45,9.4,5
3.48,11.6,6
3.31,11.8,7
3.23,12,7
3.3,9.6,4
3.45,11.2,6
3.26,9.5,5
3.56,9.4,5
3.18,9.5,5
3.44,10.2,5
3.3,9,6
3.34,9.2,5
3.14,11.4,5
3.74,11.5,5
3.35,10.8,6
3.18,9,6
3.06,11.4,6
3.23,12.5,6
3.14,11.4,5
3.5,14,8
3.48,9.2,5
3.46,11,5
3.26,12.4,7
3.27,9.3,5
3.29,10.1,5
3.4,9.6,6
3.16,11.8,6
3.43,9,6
3.16,9.4,5
3.24,9.5,6
3.45,11.2,7
3.15,9.4,5
3.21,12.3,6
3.34,10.5,5
3.4,11.2,6
3.51,11.4,4
3.05,9.5,5
3.38,12.6,6
3.15,9.8,5
3.24,9.4,5
3.17,9.4,5
3.54,10,5
3.36,10.9,5
3.18,11.4,5
3.66,9.8,5
3.22,10.1,5
3.19,10,6
3.21,10.9,6
3.3,9.4,5
3.55,12.1,5
3.37,10.5,5
3.26,9.1,5
3.29,11.2,6
3.26,11,6
3.09,11.8,7
3.28,10.1,6
3.34,10,4
3.39,9.8,5
3.28,10.7,5
3.41,9.2,5
3.07,11.7,6
3.62,12.4,6
3.33,9.5,6
3.16,11.1,6
3.85,12.9,6
3.39,9.4,5
3.26,9.6,5
3.36,10.5,6
3.29,11.1,6
3.45,9.4,6
3.17,9.4,5
3.22,11.2,5
3.58,12.5,6
3.21,9.4,6
3.45,9.5,6
3.66,10.1,4
3.51,10.7,6
3.5,10.9,3
3.12,10.7,6
3.37,9.9,6
3.15,11.2,6
3.34,10.6,7
3.12,11.2,6
2.94,10.2,5
3.28,9.5,5
3.33,11.9,6
3.26,10.6,7
3.38,9.5,7
3.18,10.1,6
3.58,12.5,6
3.45,11.5,6
3.21,9.3,5
3.4,12.5,7
3.14,10.2,5
3.19,9.2,5
3.2,10.2,7
3.52,10.7,5
3.24,10.5,5
3.18,9.6,5
3.39,9.8,5
3.26,11.8,6
3.12,9.5,6
3.22,9.3,5
3.2,9.8,5
3.21,10.5,6
3.52,10.6,5
3.36,9.5,7
3.52,12.2,5
3.32,8.7,6
3.34,9.5,5
3.56,11.6,6
3.41,9,5
3.32,9.4,5
3.42,10.5,7
2.95,11.2,7
3.34,9.3,5
3.37,9.4,5
3.26,11.7,7
3.39,9.4,6
3.22,9.4,5
3.09,9.3,5
3.04,9.3,5
3.24,12.1,7
3.34,9.2,5
3.41,10.8,7
3.37,9.6,4
3.33,9.4,5
3.29,9.8,6
3.14,11,5
3.29,10.9,6
3.43,11.2,6
3.29,10.7,6
3.36,9.4,6
3.44,10.5,5
3.22,11.4,6
3.4,9.5,5
3.55,9.7,6
3.37,10.4,6
3.36,10.4,6
3.14,10.2,5
3.33,10.4,6
3.54,13.5666666666667,7
3.27,11.7,7
3.35,12,6
3.54,10.5,5
3.4,10,5
3.33,10.4,6
3.44,12.1,6
3.15,11.7,8
3.16,11.1,6
3.39,9.2,5
3.67,11.6,6
3.43,9.7,6
3.26,9.2,5
3.34,9.5,6
3.38,10.5,6
3.44,11.1,6
3.42,9.5,5
3.37,10.7,6
3.42,9.6,5
3.42,10.7,6
3.1,9.4,5
3.29,11,6
3.01,9.4,5
3.34,9.3,5
3.23,12,6
3.1,10.4,5
3.34,9.4,5
3.27,12.5,7
3.27,9.7,5
3.22,10.3,6
3.31,9.8,5
3.03,9,5
2.94,9.2,6
3.36,9.7,6
3.17,10.8,6
3.31,9.4,5
3.21,11,6
3.3,9.8,5
3.28,10.1,6
3.25,9.9,5
3.33,10.4,4
3.45,11.3,6
3.28,11.5,6
3.52,9.6,6
3.26,10.7,6
3.23,9.5,5
3.38,11,5
3.19,10.1,6
3.1,10.4,6
3.3,9.6,6
3.67,9.7,5
3.4,11,7
3.43,10.8,6
3.21,10.5,6
3.27,12.1,7
3.34,11.4,6
3.6,11.7,6
3.32,10.6,6
3.53,9.5,5
3.23,9.5,5
3.25,10,5
3.2,9.5,5
3.78,12.5,6
3.33,11.8,7
3.18,10.8,7
3.32,11.5,6
3.4,9.7,5
3.29,10.1,5
3.55,9.95,3
3.35,10,5
3.29,12,7
3.25,9.5,5
3.3,12.1,7
3.53,9.23333333333333,6
3.42,11.3,6
3.36,12.2,6
2.89,12.7,6
3.5,9.7,5
3.71,12.2,6
3.46,10.2,5
3.36,9.5,5
3.2,12.1,7
3.29,9.2,5
3.28,9.9,6
3.02,10.9,7
2.92,11.1,5
3.16,10.3,5
3.35,12.1,7
3.36,10.2,5
3.23,9.5,5
3.36,10.1,5
3.21,10.2,6
3.39,9.4,5
3.51,9.7,5
3.16,9.4,5
3.21,9.5,5
3.58,10.8,7
3.16,9.8,6
3.37,11.2,7
3.36,10.1,6
3.38,9.6,5
3.13,9.1,6
3.26,11.2,7
3.31,9.5,5
3.18,11.8,5
3.13,9.5,5
3.63,13,5
3.47,12.9,6
3.3,9.4,5
3.47,9.7,6
3.14,11.5,7
3.5,11,4
3.6,9.9,5
3.25,9.8,5
3.34,9.7,5
3.48,9.3,5
3.34,9.2,5
3.06,9.4,5
3.53,10.5,6
3.37,11.5,7
3.21,12.5,8
3.4,10.1,5
3.38,13.6,7
3.29,11.5,6
3.4,10.2,3
3.29,9.3,5
3.37,9.7,5
3.1,9.6,5
3.05,9.2,5
2.93,9.9,6
3.17,10,5
3.1,10.4,6
3.59,11.2,4
3.17,9.2,4
3.57,11.95,5
3.31,9.8,5
3.3,9.3,5
3.35,10.7,5
3.45,9.4,5
3.16,9.4,5
3.03,9.2,5
3.16,9.8,5
3.42,11,6
3.22,10.9,6
3.68,13.6,7
3.33,9.5,5
3.28,9.3,5
3.46,9.9,5
3.72,11.4,5
3.44,11.3,6
3.35,9.4,4
3.37,10.4,5
3.35,11.7,8
3.33,10.3,6
3.38,10.3,6
3.32,9.6,4
3.19,9.2,5
3.36,9.1,5
3.7,14,6
3.36,10.9,5
3.35,10,5
3.52,9.5,6
3.26,11.7,7
3.07,10,7
3.4,11,7
3.28,10,6
3.25,9.4,5
3.27,9.4,5
3.51,9.4,5
3.36,11,5
3.61,9.9,6
3.38,10.9,4
3.23,10,5
3.45,11.8,4
3.26,10.6,6
3.29,11.5,6
3.25,9.2,5
3.4,9.8,5
3.69,10.5,5
3.15,10.5,6
2.93,9.8,5
3.1,9.3,5
3.3,11.5,4
3.4,11.3,7
3.72,14,8
3.31,9.55,5
3.35,9.5,5
3.33,9.7,5
3.1,11.4,6
3.42,9.5,6
3.28,9.7,5
3.41,12.6,6
3.49,10.4,5
3.31,9.6,6
3.29,9.3,5
3.71,12.8,7
3.23,10.1,6
3.34,12.9,6
3.56,12.9,5
3.44,9.4,5
3.42,11.7,7
3.31,9,5
3.27,9.3,5
3.25,9.8,5
3.48,11.4,6
3.37,10.1,6
3.14,9.9,6
3.31,10.8,5
2.92,11.1,5
3.35,11.4,6
3.41,9.2,6
3.51,9.5,5
3.17,9.5,5
3.2,11.9,6
3.39,9.5,5
3.45,11.5,6
3.26,9.1,5
3.1,9,6
3.15,11,7
3.06,9.1,6
3.15,11,8
3.33,10.5,6
3.34,10,5
3.02,9.5,5
3.21,12.1,7
3.24,9.9,5
3.47,9.9,5
3.24,9.4,5
3.38,10.3,5
3.49,10.5,5
3.45,12.3,6
3.07,10.4,4
3.23,11.3,8
3.39,11.8,6
3.32,9.6,6
3.49,11.4,6
3.32,9,6
3.17,12,7
3.13,10.2,5
3.19,9.5,6
3.15,10.5,6
3.42,10.8,6
3.22,9.3,6
3.31,9.7,5
3.32,11.9,7
3.19,11.3,6
3.03,10.2,5
3.32,9.2,5
3.3,9.4,5
3.14,9.4,5
3.37,9.4,5
3.28,12.4,6
3.28,9.9,5
3.21,11.8,7
3.4,10.2,6
3.47,9.4,5
3.29,9.5,5
3.27,12.2,7
3.15,9.8,5
3.48,11.5,6
3.29,9.2,6
3.26,9.3,4
3.28,9.6,5
3.56,12.9,7
3.31,12.5,7
3.21,9.5,5
3.38,9.5,6
3.27,11.7,7
3.39,9.4,5
3.28,9.4,5
3.06,10,6
3.25,9.4,5
3.36,10.5,7
3.36,10.5,6
3.22,10,6
3.14,11.1,7
3.41,9.7,5
3.37,9,6
3.07,9.2,7
3.26,9.6,6
3.3,10.4,6
3.34,10.2,5
3.13,11.9,7
3.42,9.5,6
3.16,9.8,6
3.54,11,6
3.37,10.3,5
3.11,9.3,5
3.26,9.7,5
3.36,12.4,7
3.54,12.2,7
3.17,9.6,5
3.16,9.8,6
3.28,12,4
3.66,9.8,5
3.33,9.5,5
3.36,10,5
3.35,10.5,5
3.32,10.4,6
3.32,9,6
3.29,10.9,7
3.44,11.4,4
3.48,9,5
3.17,10.6,7
3.28,11.8,7
3.28,11.5,5
3.31,9.5,6
3.17,9.2,5
3.27,9.3,6
3.41,10.1,5
3.18,10.9,5
3.32,9.5,5
3.37,9,6
3.36,12.8,7
3.54,9.3,5
3.4,11.8,5
3.22,11.6,7
3.37,10.3,5
3.35,9.8,6
3.28,11.3,7
3.23,11.3,7
3,12.8,6
3.29,10.7,6
3.2,13.1,8
3.2,9.5,5
3.22,12.2,6
3.16,9.4,5
3.44,11.5,7
3.28,9.2,5
3.08,9.3,5
3.21,9.3,5
3.2,10.8,7
3.25,12.3,7
3.41,10.4,6
3.08,9.3,5
3.18,10.1,6
3.52,12.3,7
3.17,10.5,5
3.34,11.2,6
3.39,10,6
3.36,10,5
3.56,11.1,6
3.35,10.5,5
3.75,10.5,4
3.28,9.4,5
3.13,10,5
3.22,11.2,5
3.08,9,5
3.24,9.8,5
3.37,10.1,7
3.19,10,6
3.46,10.2,5
3.38,9.8,5
3.68,14,6
3.32,10.8,7
3.69,9.4,6
3.32,9.5,6
3.31,9.5,6
3.15,9.8,5
3.54,11.3,5
3.39,9.05,4
3.38,10.1,6
3.16,12.5,7
3.18,10.3,6
3.33,10.9,6
3.39,11.4,6
3.02,9.9,7
3.23,9.4,5
3.37,12.4,6
3.52,11.4,5
3.26,9.9,6
2.88,9.8,8
3.3,10.1,5
3.32,10.5,7
3.34,9.4,5
3.27,11,5
3.33,9.7,6
3.35,11.6,7
3.36,12.8,7
3.55,12.8,6
3.14,9.4,5
3.09,9.4,5
3.3,10.55,6
3.31,10.1,6
3.23,11.6,7
3.27,11,5
3.52,10.7,6
3.16,9,5
3.32,9.5,5
3.27,9.8,6
3.34,10.5,5
3.06,10.1,5
3.39,11,5
3.24,10.9,5
3.26,11.7,7
3.11,10.1,6
3.12,9.2,5
3.33,11.2,7
3.29,10.4,5
3.44,9.4,5
3.27,11.2,7
3.31,10.3,5
3.27,10.9,6
2.89,9.6,5
3.44,9.2,5
3.19,11.6,7
3.26,10.1,5
3.52,12.9,5
3.21,9.9,5
3.22,11.8,6
3.33,11,7
3.29,10.9,6
3.18,11.2,5
3.35,10.2,7
3.25,9.2,5
3.51,10,5
3.44,11.9,6
3.15,12.5,7
3.17,9.5,6
3.22,13,7
3.14,10.4,5
3.2,9.2,5
3.39,10.6,5
3.34,10,5
3.61,9.9,6
3.27,11,6
3.31,10,6
3.17,10,5
3.06,9,5
3.3,11.2,6
3.31,10.1,6
3.07,10.5,6
3.48,9.8,5
3.48,9.8,5
3.2,9.5,5
3.62,11.5,4
3.21,10,5
3.52,9.3,6
3.15,9.9,5
3.42,10.5,5
3.62,9.9,5
3.32,9.3,5
3.35,12,6
3.39,11.8,6
3.26,9.2,5
3.21,11.3,6
3.26,9.5,5
3.08,9.5,5
3.43,10,5
3.21,9.9,5
3.58,9.9,5
3.29,10.1,5
3.46,9.5,5
3.54,11.2,4
3.32,11.1,6
3.36,10.5,6
3.17,9.8,5
3.23,9.2,5
3.15,10.5,5
3.27,9.3,5
3.2,9.2,5
3.6,11.1,6
3.22,13.4,8
3.52,11.2,6
3.25,9.6,5
3.71,14,7
3.42,10.6,5
3.28,11.1,5
3.28,11.3,7
3.37,11.3,5
3.19,9.5,5
3.4,9.8,6
3.44,9.1,5
3.4,11.2,6
3.29,9.7,4
3.2,10.2,6
3.1,10.3,6
3.36,10.7,6
3.26,9.8,5
3.43,11.3,4
3.34,9.2,5
2.99,10.2,5
3.18,10.9,7
3.24,11.2,6
3.22,11.2,6
3.56,12.7,6
3.23,10.9,6
3.15,10.4,7
3.16,8.8,5
3.18,10.2,6
3.23,9.7,7
3.3,10.2,5
3.24,12.6,7
3.23,10,5
3.57,10.2,5
3.3,11.8,7
3.4,9.9,5
3.19,9.6,5
3.37,9.5,5
3.6,11.2,6
3.36,9.5,5
3.38,10.3,6
3.36,11.4,6
3.34,9.5,5
3.2,9.8,5
3.23,10,8
3.26,9.8,5
3.13,11,5
3.41,11.9,7
3.51,9.4,5
3.14,11.3,7
3.38,11.3,6
3.12,11.8,7
3.2,10.9,6
3.02,9.3,5
3.47,10.9,6
3.35,10,6
3.38,10.1,5
3.32,9.3,5
3.17,9.2,6
3.39,9.6,5
3.48,9.5,5
3.15,9.5,5
3.4,9.8,5
3.22,11.7,6
3.15,11.4,6
3.33,11.1,6
3.27,12.4,7
3.45,10.7,5
3.18,10.9,6
3.35,10.1,5
3.12,10.6,7
3.39,10.1,6
3.42,10.6,5
3.23,9.7,5
3.3,10.8,6
3.16,11.5,6
3.2,10.5,6
3.36,9.1,4
3.4,10.9,6
3.3,12.7,6
3.35,10.1,5
3.1,10.8,6
3.46,10,5
3.11,13.3,6
3.32,9.4,5
3.41,10.9,5
2.88,9.7,5
3.68,9.6,5
3.26,11.7,6
3.27,9.4,6
3,9.3,6
3.59,11.4,6
3.24,10.6,6
3.38,11.9,6
3.35,9.4,6
3.28,11.9,6
3.25,10,6
3.37,10.5,6
3.24,9.6,6
3.35,9.7,5
3.53,11.1,5
3.22,9.9,6
3.29,9.4,5
3.11,12.4,6
3.56,10.8,5
3.4,10.3,6
3.04,9.4,5
3.29,9.5,5
3.17,9.8,6
3.13,9.6,5
3.38,11.8,6
3.2,9.8,6
3.51,9.4,5
3.19,9.2,5
3.09,11.8,7
3.34,9.2,6
3.18,11,6
3.26,10,4
3.16,9.2,5
3.3,10.7,7
3.4,10.9,5
3.22,10.9,6
3.03,9.7,6
3.5,11.2,5
3.31,10.4,6
